#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,iron-ore,ten_hours,60,45324,44978
item,iron-ore,ten_hours,61,44721,44912
item,iron-ore,ten_hours,62,44861,40838
item,iron-ore,ten_hours,63,44368,33837
item,iron-ore,ten_hours,64,34710,27959
item,iron-ore,ten_hours,65,28369,22245
item,iron-ore,ten_hours,66,22590,19007
item,iron-ore,ten_hours,67,18998,18946
item,iron-ore,ten_hours,68,17073,14866
item,iron-ore,ten_hours,69,14678,14047
item,iron-ore,ten_hours,70,14370,14000
item,iron-ore,ten_hours,71,13437,10786
item,iron-ore,ten_hours,72,10673,10847
item,iron-ore,ten_hours,73,10672,10653
item,iron-ore,ten_hours,74,10628,10636
item,iron-ore,ten_hours,75,10670,10599
item,iron-ore,ten_hours,76,10686,10646
item,iron-ore,ten_hours,77,10824,10486
item,iron-ore,ten_hours,78,10702,9539
item,iron-ore,ten_hours,79,8005,7881
item,iron-ore,ten_hours,80,7596,7472
item,iron-ore,ten_hours,81,7583,7210
item,iron-ore,ten_hours,82,7512,6697
item,iron-ore,ten_hours,83,6593,5693
item,iron-ore,ten_hours,84,5996,5985
item,iron-ore,ten_hours,85,5938,4959
item,iron-ore,ten_hours,86,4239,4200
item,iron-ore,ten_hours,87,4196,4210
item,iron-ore,ten_hours,88,4186,3493
item,iron-ore,ten_hours,89,2596,2420
item,iron-ore,ten_hours,90,2368,2425
item,iron-ore,ten_hours,91,2388,2396
item,iron-ore,ten_hours,92,2262,1859
item,iron-ore,ten_hours,93,1257,1183
item,iron-ore,ten_hours,94,702,770
item,iron-ore,ten_hours,95,552,455
item,iron-ore,ten_hours,96,689,696
item,iron-ore,ten_hours,97,716,698
item,iron-ore,ten_hours,98,455,455
item,iron-ore,ten_hours,99,67,67
item,iron-ore,fifty_hours,1,530176,528614
item,iron-ore,fifty_hours,2,535703,532932
item,iron-ore,fifty_hours,3,545694,544090
item,iron-ore,fifty_hours,4,562013,557295
item,iron-ore,fifty_hours,5,590461,587027
item,iron-ore,fifty_hours,6,621937,620883
item,iron-ore,fifty_hours,7,626997,625433
item,iron-ore,fifty_hours,8,656291,637518
item,iron-ore,fifty_hours,9,650922,550651
item,iron-ore,fifty_hours,10,484413,386514
item,iron-ore,fifty_hours,11,296203,255980
item,iron-ore,fifty_hours,12,213984,192524
item,iron-ore,fifty_hours,13,101708,89111
item,iron-ore,fifty_hours,14,59780,56922
item,iron-ore,fifty_hours,15,50887,49151
item,iron-ore,fifty_hours,16,35280,33057
item,iron-ore,fifty_hours,17,21155,19282
item,iron-ore,fifty_hours,18,8977,8633
